,num_passengers,purchase_lead,length_of_stay,flight_hour,add_ons_count,flight_duration,flight_day,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,booking_origin_0,booking_origin_1,booking_origin_2,booking_origin_3,booking_origin_4,booking_origin_5,booking_origin_6,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,departure_city_0,departure_city_1,departure_city_2,departure_city_3,departure_city_4,departure_city_5,departure_city_6,arrival_city_0,arrival_city_1,arrival_city_2,arrival_city_3,arrival_city_4,arrival_city_5,arrival_city_6,is_weekend,booking_urgency,long_haul,is_AM,departure_country_0,departure_country_1,departure_country_2,departure_country_3,departure_country_4,arrival_country_0,arrival_country_1,arrival_country_2,arrival_country_3,arrival_country_4,sales_channel_Mobile,trip_type_CircleTrip,trip_type_OneWay,trip_type_RoundTrip
5668,1.1166046730975012,-0.023163530563376916,0.5297180839570429,0.6086952058097841,1.4776034040072414,1.0798180089877247,2,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
29086,-0.7613985763745363,1.304958062685134,-1.3674014856850494,0.6086952058097841,-0.29911905412201495,-1.1225527266413642,4,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
6795,1.1166046730975012,0.6125494575329289,0.5297180839570429,0.9209262596682888,1.4776034040072414,-1.1225527266413642,4,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
18541,-0.7613985763745363,0.6125494575329289,0.8157851913935359,0.27723331018981234,1.4776034040072414,1.0798180089877247,7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1
47070,1.1166046730975012,2.074913833871978,-0.6372779219856636,1.3605692390867379,0.6569995985961722,-0.5399461303329668,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1
25257,1.1166046730975012,0.3457692616164084,0.4362094405272504,-0.07853659432621089,-1.5108170509771273,-1.5913425108228103,6,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
21225,-0.7613985763745363,-0.056406554338386976,0.4844262509611635,0.10279385556032979,-1.5108170509771273,0.8732933577577402,3,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1
3207,-0.7613985763745363,-0.2827769378091851,1.3189309074009077,1.2174137144075752,-0.29911905412201495,-1.1225527266413642,4,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
35270,1.5535771742530113,0.7341591609508362,-0.8282822569920967,-0.46656261260773185,0.6569995985961722,-0.2942385919163512,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
26642,-0.7613985763745363,0.7586672039606065,-1.3674014856850494,-1.4102044758068109,-1.5108170509771273,-1.5913425108228103,2,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
18192,-0.7613985763745363,-1.180816007907414,1.0168764196073707,0.7669686366156055,1.4776034040072414,1.0798180089877247,5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
19678,-0.7613985763745363,1.4006622180548467,0.9239684418765236,0.44563779509228063,0.6569995985961722,1.0798180089877247,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1
6812,-0.7613985763745363,0.8062260788519451,1.134933592472125,1.0709625451579436,0.6569995985961722,-1.1225527266413642,5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
42098,-0.7613985763745363,0.6921541157929479,-0.8282822569920967,-1.4102044758068109,-0.29911905412201495,-1.5913425108228103,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
